epoch,dice_mean,learning_rate,loss,val_dice_mean,val_loss
0,0.5680393576622009,9.999999747378752e-05,0.431960791349411,0.6026243567466736,0.3973754942417145
1,0.624179482460022,9.999999747378752e-05,0.375820517539978,0.6291141510009766,0.3708859086036682
2,0.6580619812011719,9.999999747378752e-05,0.3419383764266968,0.6426025629043579,0.35739725828170776
3,0.6745485663414001,9.999999747378752e-05,0.325451135635376,0.6506677865982056,0.34933197498321533
4,0.6858823299407959,9.999999747378752e-05,0.31411710381507874,0.6523158550262451,0.34768426418304443
5,0.6907974481582642,9.999999747378752e-05,0.3092024624347687,0.6532809734344482,0.34671923518180847
6,0.709638237953186,4.999999873689376e-05,0.2903619110584259,0.6707735657691956,0.3292264938354492
7,0.7212685942649841,4.999999873689376e-05,0.27873098850250244,0.670236349105835,0.32976341247558594
8,0.7265205979347229,4.999999873689376e-05,0.27347952127456665,0.676235020160675,0.32376518845558167
9,0.7354892492294312,4.999999873689376e-05,0.264510840177536,0.6864150762557983,0.31358474493026733
10,0.7471024990081787,4.999999873689376e-05,0.2528972625732422,0.6850823163986206,0.3149174749851227
11,0.7509384155273438,4.999999873689376e-05,0.24906139075756073,0.6861586570739746,0.3138411343097687
12,0.764574408531189,2.499999936844688e-05,0.2354264259338379,0.6903477311134338,0.3096523880958557
13,0.7754741907119751,2.499999936844688e-05,0.22452592849731445,0.6941430568695068,0.3058568835258484
14,0.7802459597587585,2.499999936844688e-05,0.2197539061307907,0.6990628242492676,0.3009372353553772
15,0.7840210199356079,2.499999936844688e-05,0.21597784757614136,0.6969740390777588,0.3030258119106293
16,0.7881729602813721,2.499999936844688e-05,0.21182690560817719,0.6955084800720215,0.30449122190475464
17,0.7927240133285522,2.499999936844688e-05,0.20727522671222687,0.7014573812484741,0.2985427677631378
18,0.8009026646614075,1.249999968422344e-05,0.19909784197807312,0.7021489143371582,0.29785096645355225
19,0.8072759509086609,1.249999968422344e-05,0.19272373616695404,0.7025061845779419,0.2974936366081238
20,0.8070133328437805,1.249999968422344e-05,0.1929866522550583,0.70100337266922,0.29899680614471436
21,0.8073579668998718,1.249999968422344e-05,0.19264115393161774,0.6999037265777588,0.3000963032245636
22,0.8093695044517517,1.249999968422344e-05,0.19063010811805725,0.7040222883224487,0.2959778606891632
23,0.8106551170349121,1.249999968422344e-05,0.18934518098831177,0.7048118114471436,0.29518818855285645
24,0.8182812929153442,6.24999984211172e-06,0.18171896040439606,0.7048659920692444,0.29513421654701233
25,0.8200629949569702,6.24999984211172e-06,0.17993730306625366,0.7078611254692078,0.292138934135437
26,0.8227149844169617,6.24999984211172e-06,0.1772846132516861,0.7111217379570007,0.2888786494731903
27,0.8260694742202759,6.24999984211172e-06,0.17392995953559875,0.7128968834877014,0.28710290789604187
28,0.8269640207290649,6.24999984211172e-06,0.17303673923015594,0.7144887447357178,0.2855116128921509
29,0.8290841579437256,6.24999984211172e-06,0.1709158569574356,0.7158163189888,0.2841835916042328
30,0.8383498787879944,3.12499992105586e-06,0.16165055334568024,0.716664731502533,0.28333526849746704
31,0.8341838121414185,3.12499992105586e-06,0.16581608355045319,0.7185301184654236,0.28147000074386597
