id,dice_tc,dice_wt,dice_ec,sens_tc,sens_wt,sens_ec,spec_tc,spec_wt,spec_ec,prec_tc,prec_wt,prec_ec,f1_tc,f1_wt,f1_ec,hd95_tc,hd95_wt,hd95_ec,dice_mean_tc_wt_ec
0,0.8935337180593129,0.835010060278168,0.8979947689364141,0.9573519772735095,0.904139433354218,0.9251497005434042,0.9822577207122899,0.9995414334023732,0.9991323510212154,0.8376921312195545,0.7757009344344484,0.8723884810348735,0.8935337180611351,0.8350100603621731,0.8979947689625108,1.0,4.0,1.0,0.8755128490912982
1,0.8032428396138287,0.9352133044039391,0.8929230769162082,0.8947243345901291,0.9450533391649123,0.907584050024901,0.9889527367886126,0.9979631885495952,0.9968680229439815,0.7287331849343972,0.9255760698307489,0.8787282361714046,0.8032428396181129,0.9352133044107013,0.8929230769230768,1.0,1.0,1.0,0.8771264069779919
2,0.9159836861490931,0.35897435889765505,0.8963274156268285,0.9440352281749876,0.25766871157740223,0.9035519125436189,0.9941358840631458,0.9997784720680015,0.998406090898857,0.8895511127809163,0.5915492953580639,0.8892175315706046,0.915983686152651,0.35897435897435903,0.8963274156389756,1.0,32.01562118716424,1.0,0.7237618202245256
3,0.8631605091575745,0.4229873155469069,0.9311061724821452,0.8325467743074706,0.29283154120814225,0.9494152046714224,0.9817196836670515,0.9990129321309874,0.9950495846476773,0.8961115981617861,0.7614165889318344,0.9134899423202033,0.8631605091586463,0.4229873155578565,0.9311061724854828,1.0,8.06225774829855,1.0,0.7390846657288755
4,0.9350717766332969,0.5051546389148688,0.8177339897449587,0.9334122132325418,0.3629629626941015,0.8058252419360921,0.9961163239929389,0.9999618333717544,0.9999351246556837,0.9367372517914325,0.8305084731686296,0.82999999917,0.9350717766363756,0.5051546391752578,0.8177339901477833,1.0,8.06225774829855,8.0,0.7526534684310414
5,0.7210736307554549,0.7714104255177516,0.0,0.7635581502476297,0.7464309350406879,0.0,0.9814872795288402,0.9920617569073081,0.9998550415035248,0.683067619566499,0.798119692672886,0.0,0.7210736307580704,0.7714104255215204,0.0,1.414213562373095,1.0,,0.4974946854244022
6,0.8530232118335317,0.8707010185635625,0.7848617176013849,0.819585755806508,0.8151222795419537,0.7841768469812631,0.995528319316627,0.9990104273785643,0.9971550717799367,0.8893050763835455,0.9344135802228803,0.7855477855248967,0.8530232118375645,0.8707010185739964,0.7848617176128093,1.0,1.0,1.7320508075688772,0.8361953159994929
7,0.4955689471642833,0.928587075569942,0.8006316620449935,0.4538961038666301,0.912299580319463,0.7125790583024393,0.9977667265272222,0.9980660547116689,0.9992595392170401,0.5456674472641946,0.9454667112641298,0.9135135134723643,0.4955689471818504,0.9285870755750274,0.8006316620607975,8.06225774829855,1.0,1.414213562373095,0.7415958949264062
8,0.7631587924257834,0.7370865243589354,0.8721644135679469,0.8267248069146493,0.6864188163858633,0.8423250375767366,0.960877647468783,0.9803124893966595,0.9934352514298729,0.7086698976821925,0.7958304011224673,0.9041955534251482,0.7631587924270851,0.7370865243604366,0.8721644135704609,1.7320508075688772,1.414213562373095,1.0,0.7908032434508886
9,0.8725065047659607,0.7171152869112689,0.8963815789391777,0.8979470395626504,0.6755980860597514,0.9018201875178926,0.993584886197788,0.9991650676559469,0.9976626867412018,0.8484678099442557,0.7640692639865726,0.8910081743707355,0.8725065047701649,0.7171152869476891,0.8963815789473684,1.0,3.1622776601683795,1.0,0.8286677902054692
10,0.8246547314535823,0.658164068640243,0.8509586578757827,0.7972505192285901,0.7435076484972072,0.7850480204464516,0.994532462018468,0.9944087331727954,0.9964913130721819,0.854009958673016,0.5903954802093109,0.9289510260736737,0.8246547314578005,0.6581640686506062,0.8509586578789695,1.414213562373095,3.0,1.0,0.7779258193232027
11,0.73071467539154,0.511140235904179,0.8827715355772181,0.6515859116496245,0.7406000759308545,0.8685878537671832,0.9946201551614768,0.9882586865292846,0.9945811341396616,0.8317188276101376,0.3902341404764812,0.8974261346261238,0.7307146753955265,0.511140235910878,0.8827715355805245,2.0,5.830951894845301,1.0,0.7082088156243124
12,0.7991937933106955,0.6052405498151796,0.8793347487563143,0.7882897603442903,0.5577988915060255,0.918555938874833,0.9861106553338258,0.9972228427917181,0.9945478451190441,0.8104037180087887,0.6615023473867839,0.8433257918456637,0.7991937933129022,0.6052405498281788,0.8793347487615004,1.414213562373095,5.385164807134504,1.0,0.7612563639607298
